
name,category,price,description,image
Rose Oud,Women,180,Soft rose perfume with oud notes,https://images.unsplash.com/photo-1541643600914-78b084683601
Royal Musk,Unisex,150,Clean musk scent for daily use,https://images.unsplash.com/photo-1594035910387-fea47794261f
Black Amber,Men,220,Strong amber perfume for evening,https://images.unsplash.com/photo-1595425970377-c9703cf48b6d
Vanilla Bloom,Women,130,Sweet vanilla perfume,https://images.unsplash.com/photo-1619994403073-2cec844b8e63
Fresh Citrus,Unisex,110,Fresh citrus scent for summer,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539
Oud Essence,Luxury,250,Rich oud fragrance for special occasions,https://images.unsplash.com/photo-1615634260167-c8cdede054de
Peony Blush,Floral,160,Floral and soft peony fragrance,https://images.unsplash.com/photo-1585386959984-a41552231658
Aqua Fresh,Men,120,Cool aquatic scent for everyday,https://images.unsplash.com/photo-1590736704728-f4730bb30770
Ruby Elixir,Luxury,300,Seductive and rich fragrance,https://images.unsplash.com/photo-1595425970377-c9703cf48b6d
Lavender Calm,Unisex,90,Calming lavender scent for relaxation,https://images.unsplash.com/photo-1619994403073-2cec844b8e63
Sandal Wood,Woody,140,Warm sandalwood with a touch of spice,https://images.unsplash.com/photo-1615634260167-c8cdede054de
Cherry Blossom,Women,100,Sweet and delicate cherry blossom,https://images.unsplash.com/photo-1585386959984-a41552231658
